IdPeriod,MatchDate,MatchTime,Time,Match,Player1name,Player1team,LocationX,LocationY,AttackingDirection
2,2015/08/17,20:00:00.000000,2124.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,770,1190,1
2,2015/08/17,20:00:00.000000,2124.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,770,1170,1
2,2015/08/17,20:00:00.000000,2124.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,770,1160,1
2,2015/08/17,20:00:00.000000,2124.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,760,1150,1
2,2015/08/17,20:00:00.000000,2124.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,760,1130,1
2,2015/08/17,20:00:00.000000,2124.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,750,1120,1
2,2015/08/17,20:00:00.000000,2124.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,750,1110,1
2,2015/08/17,20:00:00.000000,2125,Liverpool v Bournemouth,Smith Adam,Bournemouth,740,1100,1
2,2015/08/17,20:00:00.000000,2125.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,740,1080,1
2,2015/08/17,20:00:00.000000,2125.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,730,1070,1
2,2015/08/17,20:00:00.000000,2125.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,720,1060,1
2,2015/08/17,20:00:00.000000,2125.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,720,1040,1
2,2015/08/17,20:00:00.000000,2125.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,710,1030,1
2,2015/08/17,20:00:00.000000,2125.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,710,1010,1
2,2015/08/17,20:00:00.000000,2125.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,700,1000,1
2,2015/08/17,20:00:00.000000,2125.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,690,980,1
2,2015/08/17,20:00:00.000000,2125.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,690,970,1
2,2015/08/17,20:00:00.000000,2126,Liverpool v Bournemouth,Smith Adam,Bournemouth,680,950,1
2,2015/08/17,20:00:00.000000,2126.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,680,940,1
2,2015/08/17,20:00:00.000000,2126.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,920,1
2,2015/08/17,20:00:00.000000,2126.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,910,1
2,2015/08/17,20:00:00.000000,2126.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,900,1
2,2015/08/17,20:00:00.000000,2126.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,890,1
2,2015/08/17,20:00:00.000000,2126.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,880,1
2,2015/08/17,20:00:00.000000,2126.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,870,1
2,2015/08/17,20:00:00.000000,2126.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,860,1
2,2015/08/17,20:00:00.000000,2126.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,850,1
2,2015/08/17,20:00:00.000000,2127,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,850,1
2,2015/08/17,20:00:00.000000,2127.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,840,1
2,2015/08/17,20:00:00.000000,2127.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,670,830,1
2,2015/08/17,20:00:00.000000,2127.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,660,830,1
2,2015/08/17,20:00:00.000000,2127.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,660,820,1
2,2015/08/17,20:00:00.000000,2127.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,660,810,1
2,2015/08/17,20:00:00.000000,2127.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,650,800,1
2,2015/08/17,20:00:00.000000,2127.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,640,790,1
2,2015/08/17,20:00:00.000000,2127.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,640,780,1
2,2015/08/17,20:00:00.000000,2127.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,630,760,1
2,2015/08/17,20:00:00.000000,2128,Liverpool v Bournemouth,Smith Adam,Bournemouth,620,750,1
2,2015/08/17,20:00:00.000000,2128.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,610,730,1
2,2015/08/17,20:00:00.000000,2128.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,600,720,1
2,2015/08/17,20:00:00.000000,2128.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,590,710,1
2,2015/08/17,20:00:00.000000,2128.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,580,700,1
2,2015/08/17,20:00:00.000000,2128.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,570,690,1
2,2015/08/17,20:00:00.000000,2128.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,570,680,1
2,2015/08/17,20:00:00.000000,2128.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,560,670,1
2,2015/08/17,20:00:00.000000,2128.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,660,1
2,2015/08/17,20:00:00.000000,2128.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,660,1
2,2015/08/17,20:00:00.000000,2129,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,650,1
2,2015/08/17,20:00:00.000000,2129.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,640,1
2,2015/08/17,20:00:00.000000,2129.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,640,1
2,2015/08/17,20:00:00.000000,2129.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,630,1
2,2015/08/17,20:00:00.000000,2129.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,620,1
2,2015/08/17,20:00:00.000000,2129.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,610,1
2,2015/08/17,20:00:00.000000,2129.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,600,1
2,2015/08/17,20:00:00.000000,2129.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,530,590,1
2,2015/08/17,20:00:00.000000,2129.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,580,1
2,2015/08/17,20:00:00.000000,2129.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,580,1
2,2015/08/17,20:00:00.000000,2130,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,570,1
2,2015/08/17,20:00:00.000000,2130.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,570,1
2,2015/08/17,20:00:00.000000,2130.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,540,560,1
2,2015/08/17,20:00:00.000000,2130.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,560,1
2,2015/08/17,20:00:00.000000,2130.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,560,1
2,2015/08/17,20:00:00.000000,2130.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
2,2015/08/17,20:00:00.000000,2130.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
2,2015/08/17,20:00:00.000000,2130.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
2,2015/08/17,20:00:00.000000,2130.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
2,2015/08/17,20:00:00.000000,2130.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
2,2015/08/17,20:00:00.000000,2131,Liverpool v Bournemouth,Smith Adam,Bournemouth,550,550,1
