Time,Half,XPos,YPos
68.7,First Half
68.8,First Half
68.9,First Half
69.0,First Half
69.1,First Half
69.2,First Half
69.3,First Half
69.4,First Half
69.5,First Half
69.6,First Half
69.7,First Half
69.8,First Half
69.9,First Half
70.0,First Half
70.1,First Half
70.2,First Half
70.3,First Half
70.4,First Half
70.5,First Half
70.6,First Half
70.7,First Half
70.8,First Half
70.9,First Half
71.0,First Half
71.1,First Half
71.2,First Half
71.3,First Half
71.4,First Half
71.5,First Half
71.6,First Half
71.7,First Half
71.8,First Half
71.9,First Half
72.0,First Half
72.1,First Half
72.2,First Half
72.3,First Half
72.4,First Half
72.5,First Half
72.6,First Half
72.7,First Half
72.8,First Half
72.9,First Half
73.0,First Half
73.1,First Half
73.2,First Half
73.3,First Half
73.4,First Half
73.5,First Half
73.6,First Half
73.7,First Half
73.8,First Half
73.9,First Half
74.0,First Half
74.1,First Half
74.2,First Half
74.3,First Half
74.4,First Half
74.5,First Half
74.6,First Half
74.7,First Half
74.8,First Half
74.9,First Half
75.0,First Half
75.1,First Half
75.2,First Half
75.3,First Half
75.4,First Half
75.5,First Half
75.6,First Half
75.7,First Half
75.8,First Half
75.9,First Half
76.0,First Half
76.1,First Half
76.2,First Half
76.3,First Half
76.4,First Half
76.5,First Half
76.6,First Half
76.7,First Half
76.8,First Half
76.9,First Half
77.0,First Half
77.1,First Half
77.2,First Half
77.3,First Half
77.4,First Half
77.5,First Half
77.6,First Half
77.7,First Half
77.8,First Half
77.9,First Half
78.0,First Half
78.1,First Half
78.2,First Half
78.3,First Half
78.4,First Half
78.5,First Half
78.6,First Half
78.7,First Half
78.8,First Half
78.9,First Half
79.0,First Half
79.1,First Half
79.2,First Half
79.3,First Half
79.4,First Half
79.5,First Half
79.6,First Half
79.7,First Half
79.8,First Half
79.9,First Half
80.0,First Half
80.1,First Half
80.2,First Half
80.3,First Half
80.4,First Half
80.5,First Half
80.6,First Half
80.7,First Half
80.8,First Half
80.9,First Half
81.0,First Half
81.1,First Half
81.2,First Half
81.3,First Half
81.4,First Half
81.5,First Half
81.6,First Half
81.7,First Half
81.8,First Half
81.9,First Half
82.0,First Half
82.1,First Half
82.2,First Half
82.3,First Half
82.4,First Half
82.5,First Half
82.6,First Half
82.7,First Half
82.8,First Half
82.9,First Half
83.0,First Half
83.1,First Half
83.2,First Half
83.3,First Half
83.4,First Half
83.5,First Half
83.6,First Half
83.7,First Half
83.8,First Half
83.9,First Half
84.0,First Half
84.1,First Half
84.2,First Half
84.3,First Half
84.4,First Half
84.5,First Half
84.6,First Half
84.7,First Half
84.8,First Half
84.9,First Half
85.0,First Half
85.1,First Half
85.2,First Half
85.3,First Half
85.4,First Half
85.5,First Half
85.6,First Half
85.7,First Half
85.8,First Half
85.9,First Half
86.0,First Half
86.1,First Half
86.2,First Half
86.3,First Half
86.4,First Half
86.5,First Half
86.6,First Half
86.7,First Half
86.8,First Half
86.9,First Half
87.0,First Half
87.1,First Half
87.2,First Half
87.3,First Half
87.4,First Half
87.5,First Half
87.6,First Half
87.7,First Half
87.8,First Half
87.9,First Half
88.0,First Half
88.1,First Half
88.2,First Half
88.3,First Half
88.4,First Half
88.5,First Half
88.6,First Half
88.7,First Half
88.8,First Half
88.9,First Half
89.0,First Half
89.1,First Half
89.2,First Half
89.3,First Half
89.4,First Half
89.5,First Half
89.6,First Half
89.7,First Half
89.8,First Half
89.9,First Half
90.0,First Half
90.1,First Half
90.2,First Half
90.3,First Half
90.4,First Half
90.5,First Half
90.6,First Half
90.7,First Half
90.8,First Half
90.9,First Half
91.0,First Half
91.1,First Half
91.2,First Half
91.3,First Half
91.4,First Half
91.5,First Half
91.6,First Half
91.7,First Half
91.8,First Half
91.9,First Half
92.0,First Half
92.1,First Half
92.2,First Half
92.3,First Half
92.4,First Half
92.5,First Half
92.6,First Half
92.7,First Half
92.8,First Half
92.9,First Half
93.0,First Half
93.1,First Half
93.2,First Half
93.3,First Half
93.4,First Half
93.5,First Half
93.6,First Half
93.7,First Half
93.8,First Half
93.9,First Half
94.0,First Half
94.1,First Half
94.2,First Half
94.3,First Half
94.4,First Half
94.5,First Half
94.6,First Half
94.7,First Half
94.8,First Half
94.9,First Half
95.0,First Half
95.1,First Half
95.2,First Half
95.3,First Half
95.4,First Half
95.5,First Half
95.6,First Half
95.7,First Half
95.8,First Half
95.9,First Half
96.0,First Half
96.1,First Half
96.2,First Half
96.3,First Half
96.4,First Half
96.5,First Half
96.6,First Half
96.7,First Half
96.8,First Half
96.9,First Half
97.0,First Half
97.1,First Half
97.2,First Half
97.3,First Half
97.4,First Half
97.5,First Half
97.6,First Half
97.7,First Half
97.8,First Half
97.9,First Half
98.0,First Half
98.1,First Half
98.2,First Half
98.3,First Half
98.4,First Half
98.5,First Half
98.6,First Half
98.7,First Half
98.8,First Half
98.9,First Half
99.0,First Half
99.1,First Half
99.2,First Half
99.3,First Half
99.4,First Half
99.5,First Half
99.6,First Half
99.7,First Half
99.8,First Half
99.9,First Half
100.0,First Half
100.1,First Half
100.2,First Half
100.3,First Half
100.4,First Half
100.5,First Half
100.6,First Half
100.7,First Half
100.8,First Half
100.9,First Half
101.0,First Half
101.1,First Half
101.2,First Half
101.3,First Half
101.4,First Half
101.5,First Half
101.6,First Half
101.7,First Half
101.8,First Half
101.9,First Half
